,INALT,ROMS,ROMSchild
2009-09-19,109.37627,71.139626,71.21908
2009-09-20,93.59413,70.0631,69.08659
2009-09-21,56.98389,68.89785,66.15336
2009-09-22,33.65168,67.209206,63.641262
2009-09-23,23.898708,66.38673,62.5975
2009-09-24,32.827457,66.95083,61.13147
2009-09-25,32.209282,67.97452,62.609806
2009-09-26,32.209282,69.01829,62.5753
2009-09-27,32.209282,69.42206,63.173206
2009-09-28,66.62816,68.61457,63.44586
2009-09-29,79.75379,67.79485,63.298855
2009-09-30,66.32271,66.75899,61.07425
2009-10-01,33.239567,65.78096,60.317055
2009-10-02,33.239567,65.65557,60.74278
2009-10-03,32.209282,64.85775,59.264347
2009-10-04,16.363964,63.66598,58.521873
2009-10-05,16.363964,61.82401,57.125237
2009-10-06,16.363964,61.157402,56.08605
2009-10-07,16.363964,58.629326,54.900513
2009-10-08,23.898708,55.30643,52.93162
2009-10-09,32.209282,52.906662,51.54865
2009-10-10,41.48185,50.19797,51.71048
2009-10-11,51.94512,49.184303,50.576397
2009-10-12,61.492256,48.553154,47.752075
2009-10-13,32.209282,49.138786,46.880116
2009-10-14,24.452747,48.31655,47.54293
2009-10-15,17.703474,46.003147,48.026413
2009-10-16,45.667168,43.72994,46.72991
2009-10-17,66.097755,41.425915,45.218876
2009-10-18,61.0424,39.81295,43.1956
2009-10-19,17.20116,38.372467,41.320267
2009-10-20,16.363964,38.118618,39.849888
2009-10-21,16.363964,38.073013,38.52249
2009-10-22,16.363964,37.481117,36.338688
2009-10-23,16.363964,36.860367,35.72587
2009-10-24,16.363964,36.064884,35.762726
2009-10-25,16.363964,34.159004,35.528595
2009-10-26,23.898708,33.627445,34.39124
2009-10-27,23.898708,33.361866,34.122036
2009-10-28,32.209282,32.6761,33.298462
2009-10-29,32.209282,32.206276,32.992603
2009-10-30,23.898708,32.28057,32.55986
2009-10-31,18.540668,31.51957,31.823063
2009-11-01,23.731272,30.53531,31.14584
2009-11-02,23.898708,30.222708,30.28241
2009-11-03,23.898708,29.369478,29.865395
2009-11-04,23.898708,28.954432,28.893557
2009-11-05,30.91653,29.115915,29.287046
2009-11-06,24.452745,28.776852,29.55819
2009-11-07,16.363964,28.770851,29.173868
2009-11-08,23.898708,27.94555,28.865335
2009-11-09,23.898708,28.231012,28.821054
2009-11-10,23.898708,28.465105,29.187815
2009-11-11,16.363964,28.380867,29.589203
2009-11-12,16.363964,28.350101,29.321007
2009-11-13,16.363964,28.671944,29.642874
2009-11-14,23.898708,29.024456,29.40091
2009-11-15,32.209282,28.821545,29.50965
2009-11-16,23.898708,28.64149,29.393631
2009-11-17,23.898708,28.263878,29.286104
2009-11-18,16.363964,28.102856,28.941118
2009-11-19,16.363964,28.164684,28.997456
2009-11-20,16.363964,27.885618,29.030224
2009-11-21,23.898708,28.007475,29.010485
2009-11-22,23.898708,28.207142,29.032701
2009-11-23,23.563835,28.490353,29.004625
2009-11-24,16.363964,28.900951,29.11225
2009-11-25,23.898708,28.847883,29.10486
2009-11-26,23.898708,28.817354,29.110594
2009-11-27,16.363964,28.690884,28.915112
2009-11-28,16.363964,28.547577,29.194807
2009-11-29,16.363964,28.617401,29.18717
2009-11-30,16.363964,28.648685,29.218454
2009-12-01,16.363964,29.027594,29.322191
2009-12-02,16.363964,28.933626,29.484787
2009-12-03,16.363964,28.57165,29.418047
2009-12-04,16.363964,28.332735,29.320133
2009-12-05,16.363964,28.322042,29.122744
2009-12-06,16.363964,28.26941,29.18217
2009-12-07,16.363964,28.298487,29.026562
2009-12-08,16.363964,28.33486,29.069242
2009-12-09,16.363964,28.415789,28.940388
2009-12-10,16.363964,28.706783,28.90295
2009-12-11,16.363964,29.021788,28.923271
2009-12-12,16.363964,29.35329,28.953426
2009-12-13,16.363964,29.31108,28.92554
2009-12-14,16.363964,29.055716,28.98257
2009-12-15,16.363964,28.93202,29.01591
2009-12-16,16.363964,29.010561,29.038813
2009-12-17,16.363964,29.307455,29.145926
2009-12-18,16.363964,29.662594,28.979874
2009-12-19,16.363964,29.682373,29.099224
2009-12-20,16.363964,29.505486,29.31476
2009-12-21,16.363964,29.501854,29.34342
2009-12-22,16.363964,29.54801,29.196966
2009-12-23,16.363964,29.191038,29.049412
2009-12-24,16.363964,29.427914,29.030127
2009-12-25,16.363964,29.159372,28.978987
2009-12-26,16.363964,29.1287,28.937185
2009-12-27,16.363964,28.884895,28.841627
2009-12-28,23.898708,28.83055,28.905643
2009-12-29,23.898708,28.498901,28.929644
2009-12-30,16.363964,28.264463,28.823603
2009-12-31,16.363964,28.382607,28.842445
